Outs,Start_Bases,RE
0,1st,0.9398397189592711
0,1st and 2nd,1.5519148936170213
0,1st and 3rd,1.869047619047619
0,2nd,1.1825764596848933
0,2nd and 3rd,2.077685950413223
0,3rd,1.5374015748031495
0,Bases Loaded,2.393323657474601
0,None on,0.5445159064586875
1,1st,0.56
1,1st and 2nd,0.9157345264727815
1,1st and 3rd,1.2848680667743673
1,2nd,0.7176910953506698
1,2nd and 3rd,1.4332909783989836
1,3rd,0.99359316604378
1,Bases Loaded,1.6066104990278678
1,None on,0.2918969008477194
2,1st,0.2470783015192832
2,1st and 2nd,0.4351320321469575
2,1st and 3rd,0.5080508474576271
2,2nd,0.35428402016009486
2,2nd and 3rd,0.5958456973293769
2,3rd,0.36756960120391274
2,Bases Loaded,0.7927543953116676
2,None on,0.11822260200811792
