hits_after_k_hits,hits_after_k_misses,k,k_hits,k_misses,year,t_k_hit,t_k_miss
87,109,1,196,259,2013,0.44387755102040816,0.42084942084942084
31,51,2,74,126,2013,0.4189189189189189,0.40476190476190477
9,25,3,26,63,2013,0.34615384615384615,0.3968253968253968
99,106,1,211,257,2014,0.46919431279620855,0.41245136186770426
38,50,2,86,120,2014,0.4418604651162791,0.4166666666666667
11,26,3,31,54,2014,0.3548387096774194,0.48148148148148145
100,142,1,246,324,2015,0.4065040650406504,0.4382716049382716
39,75,2,91,157,2015,0.42857142857142855,0.47770700636942676
19,32,3,36,67,2015,0.5277777777777778,0.47761194029850745
110,124,1,244,325,2016,0.45081967213114754,0.38153846153846155
45,63,2,102,169,2016,0.4411764705882353,0.3727810650887574
21,33,3,43,86,2016,0.4883720930232558,0.38372093023255816
82,90,1,179,220,2017,0.4581005586592179,0.4090909090909091
32,41,2,71,103,2017,0.4507042253521127,0.39805825242718446
15,20,3,29,52,2017,0.5172413793103449,0.38461538461538464
